Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Low,Senior Citizens,No,Medium,Medium,Low
Shani Shingnapur,Ahmednagar,January,Winter,Yes,Cool,High,Students,No,High,Low,High
Daulatabad Fort,Aurangabad,March,Summer,Yes,Hot,High,Families,No,Medium,High,High
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Rainy,Low,Families,Yes,Medium,Low,Low
Raigad Fort,Raigad,May,Summer,No,Hot,Medium,Foreign Tourists,Yes,High,Low,Medium
Ajanta Caves,Aurangabad,July,Monsoon,No,Rainy,Medium,Students,No,Low,Medium,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Medium,Families,Yes,High,Low,High
Gateway of India,Mumbai,May,Summer,No,Hot,Medium,Families,Yes,Low,High,Medium
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,Yes,Medium,High,High
Shirdi,Ahmednagar,March,Summer,Yes,Hot,High,Families,No,Low,Medium,High
Daulatabad Fort,Aurangabad,April,Summer,Yes,Hot,High,Foreign Tourists,Yes,High,Low,High
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Hot,High,Students,Yes,High,Low,High
Mahabaleshwar,Satara,August,Monsoon,Yes,Rainy,Low,Students,Yes,Low,High,Low
Daulatabad Fort,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,High
Shirdi,Ahmednagar,January,Winter,No,Cool,High,Senior Citizens,No,Medium,High,High
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,High,Foreign Tourists,Yes,High,Medium,High
Mahabaleshwar,Satara,August,Monsoon,No,Rainy,Low,Families,No,Medium,High,Low
Ajanta Caves,Aurangabad,May,Summer,Yes,Hot,High,Foreign Tourists,Yes,Medium,High,High
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,High,Foreign Tourists,Yes,Medium,High,High
Ellora Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Families,No,Medium,High,Low
Trimbakeshwar Temple,Nashik,January,Winter,No,Cool,High,Foreign Tourists,Yes,Low,Medium,High
Daulatabad Fort,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,High,High
Ellora Caves,Aurangabad,February,Winter,Yes,Cool,High,Families,Yes,High,Low,High
Raigad Fort,Raigad,September,Monsoon,Yes,Rainy,Low,Senior Citizens,No,Low,Medium,Low
Shirdi,Ahmednagar,May,Summer,No,Hot,Medium,Foreign Tourists,Yes,High,High,High
Trimbakeshwar Temple,Nashik,September,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,High,High,Low
Shani Shingnapur,Ahmednagar,August,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,Medium,Medium,Low
Ajanta Caves,Aurangabad,March,Summer,Yes,Hot,High,Families,Yes,High,High,High
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Senior Citizens,No,Medium,High,High
Shani Shingnapur,Ahmednagar,June,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,Low,High,Low
Ellora Caves,Aurangabad,June,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,Low,Medium,Low
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,Yes,High,Low,High
Mahabaleshwar,Satara,August,Monsoon,No,Rainy,Low,Families,Yes,Low,Low,Low
Shirdi,Ahmednagar,January,Winter,Yes,Cool,High,Senior Citizens,Yes,Medium,High,High
Ajanta Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Families,Yes,High,Medium,Low
Mahabaleshwar,Satara,September,Monsoon,Yes,Rainy,Low,Senior Citizens,Yes,Medium,High,Low
Ellora Caves,Aurangabad,January,Winter,No,Cool,High,Foreign Tourists,Yes,Medium,Medium,High
Daulatabad Fort,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Low,Medium,High
Mahabaleshwar,Satara,July,Monsoon,No,Rainy,Low,Senior Citizens,No,Low,High,Low
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Pleasant,Medium,Senior Citizens,No,High,Medium,High
Mahabaleshwar,Satara,February,Winter,No,Cool,High,Foreign Tourists,Yes,Low,Medium,High
Daulatabad Fort,Aurangabad,February,Winter,No,Cool,Medium,Families,Yes,High,High,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Students,No,Medium,High,High
Gateway of India,Mumbai,September,Monsoon,Yes,Rainy,High,Senior Citizens,Yes,Low,Low,High
Ellora Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Low,High,Low
Gateway of India,Mumbai,August,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,High,Low,Low
Trimbakeshwar Temple,Nashik,April,Summer,No,Hot,Medium,Senior Citizens,No,High,Medium,High
Ajanta Caves,Aurangabad,July,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,Medium,High,Low
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,High,Foreign Tourists,Yes,High,Medium,High
Gateway of India,Mumbai,March,Summer,No,Hot,Medium,Families,No,Low,High,High
Daulatabad Fort,Aurangabad,April,Summer,No,Hot,Medium,Students,Yes,Low,Low,Medium
Shirdi,Ahmednagar,January,Winter,Yes,Cool,High,Senior Citizens,Yes,Medium,Low,High
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Rainy,High,Senior Citizens,Yes,High,Low,High
Gateway of India,Mumbai,January,Winter,No,Cool,Medium,Foreign Tourists,Yes,Medium,Medium,Medium
Sindhudurg Fort,Sindhudurg,February,Winter,No,Cool,High,Students,No,Low,Low,High
Gateway of India,Mumbai,January,Winter,Yes,Cool,High,Students,Yes,Low,Medium,High
Gateway of India,Mumbai,December,Winter,Yes,Cool,High,Senior Citizens,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,No,Pleasant,Medium,Senior Citizens,Yes,Medium,High,High
Ajanta Caves,Aurangabad,December,Winter,Yes,Cool,High,Families,Yes,High,Low,High
Ellora Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Senior Citizens,No,High,Medium,Low
Shani Shingnapur,Ahmednagar,May,Summer,Yes,Hot,High,Students,No,High,Low,High
Shirdi,Ahmednagar,July,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Medium,Medium,Low
Gateway of India,Mumbai,July,Monsoon,No,Rainy,Low,Families,Yes,Low,High,Low
Daulatabad Fort,Aurangabad,May,Summer,Yes,Hot,High,Foreign Tourists,Yes,Medium,High,High
Daulatabad Fort,Aurangabad,April,Summer,No,Hot,Medium,Students,Yes,Medium,Medium,High
Raigad Fort,Raigad,September,Monsoon,Yes,Rainy,Low,Senior Citizens,Yes,Medium,Low,Low
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,Medium,Families,No,High,High,High
Daulatabad Fort,Aurangabad,October,Post-Monsoon,No,Pleasant,High,Families,No,Low,High,High
Shirdi,Ahmednagar,April,Summer,No,Hot,Medium,Students,Yes,High,Medium,High
Raigad Fort,Raigad,September,Monsoon,No,Rainy,Low,Students,No,High,Low,Low
Ajanta Caves,Aurangabad,June,Monsoon,Yes,Rainy,Low,Senior Citizens,Yes,Low,Medium,Low
Mahabaleshwar,Satara,July,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,High,High,Low
Raigad Fort,Raigad,April,Summer,Yes,Hot,High,Foreign Tourists,Yes,Low,Medium,High
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,High,Senior Citizens,No,High,Low,High
Mahabaleshwar,Satara,June,Monsoon,No,Rainy,Medium,Foreign Tourists,Yes,Low,Low,High
Gateway of India,Mumbai,February,Winter,No,Cool,Medium,Foreign Tourists,Yes,High,Low,Medium
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Medium,Students,Yes,Medium,Low,High
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,High,Foreign Tourists,Yes,Low,Medium,High
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,Medium,Families,Yes,High,Low,Medium
Ajanta Caves,Aurangabad,December,Winter,Yes,Cool,High,Senior Citizens,No,Low,High,High
Shani Shingnapur,Ahmednagar,March,Summer,No,Hot,Medium,Families,No,High,Medium,Medium
Daulatabad Fort,Aurangabad,May,Summer,No,Hot,Medium,Senior Citizens,No,Low,Medium,High
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,High,Foreign Tourists,Yes,High,High,High
Gateway of India,Mumbai,March,Summer,Yes,Hot,High,Families,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,August,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,Medium,Medium,Low
Sindhudurg Fort,Sindhudurg,May,Summer,No,Hot,Medium,Senior Citizens,Yes,Medium,High,Medium
Daulatabad Fort,Aurangabad,March,Summer,Yes,Hot,High,Senior Citizens,Yes,Medium,Medium,High
Raigad Fort,Raigad,August,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Medium,Low,Low
Mahabaleshwar,Satara,February,Winter,Yes,Cool,High,Students,Yes,Medium,High,High
Daulatabad Fort,Aurangabad,August,Monsoon,Yes,Rainy,Low,Students,No,Low,High,Low
Daulatabad Fort,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Senior Citizens,Yes,Medium,High,High
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Families,No,Medium,Medium,High
Raigad Fort,Raigad,May,Summer,No,Hot,Medium,Students,No,High,Medium,Medium
Trimbakeshwar Temple,Nashik,December,Winter,Yes,Cool,High,Families,Yes,High,Low,High
Mahabaleshwar,Satara,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Low,Medium,High
Shirdi,Ahmednagar,January,Winter,No,Cool,High,Families,Yes,Medium,Medium,High
Daulatabad Fort,Aurangabad,March,Summer,Yes,Hot,High,Students,No,High,Medium,High
Shani Shingnapur,Ahmednagar,December,Winter,No,Cool,Medium,Senior Citizens,Yes,Medium,Low,High
Ellora Caves,Aurangabad,May,Summer,No,Hot,High,Families,No,High,Medium,High
Ajanta Caves,Aurangabad,December,Winter,No,Cool,High,Senior Citizens,No,High,High,High
Ajanta Caves,Aurangabad,May,Summer,Yes,Hot,High,Students,Yes,Low,Medium,High
Gateway of India,Mumbai,August,Monsoon,Yes,Rainy,Low,Senior Citizens,Yes,Medium,Medium,Low
Shirdi,Ahmednagar,September,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,High,Low,Low
Mahabaleshwar,Satara,May,Summer,No,Hot,Medium,Students,Yes,Medium,Medium,Medium
Ajanta Caves,Aurangabad,April,Summer,Yes,Hot,High,Senior Citizens,No,Medium,Medium,High
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Families,Yes,High,Medium,High
Mahabaleshwar,Satara,August,Monsoon,Yes,Rainy,Low,Students,No,High,High,Low
Shirdi,Ahmednagar,February,Winter,Yes,Cool,High,Senior Citizens,Yes,Low,Medium,High
Mahabaleshwar,Satara,September,Monsoon,Yes,Rainy,Low,Students,Yes,High,Low,Low
Raigad Fort,Raigad,May,Summer,Yes,Hot,High,Foreign Tourists,Yes,High,High,High
Mahabaleshwar,Satara,October,Post-Monsoon,No,Pleasant,High,Senior Citizens,No,High,High,High
